category,keyword,polarity,freq
Skincare,ve,?,26558
Skincare,skin,?,19554
Skincare,product,?,14057
Skincare,use,?,13577
Skincare,love,?,10514
Skincare,feel,?,10112
Skincare,like,?,8305
Skincare,make,?,7276
Skincare,face,?,7203
Skincare,using,?,7056
Skincare,really,?,6403
Skincare,does,?,6318
Skincare,dry,-,6008
Skincare,day,?,5590
Skincare,look,?,5472
Skincare,great,?,5326
Skincare,just,?,4877
Skincare,oil,?,4852
Skincare,did,?,4815
Skincare,way,?,4809
Skincare,smell,-,4753
Skincare,used,?,4633
Skincare,time,?,4547
Skincare,clean,?,4541
Skincare,recommend,?,4384
Skincare,light,?,4216
Skincare,moisturizer,?,4154
Skincare,cream,?,4034
Skincare,don,?,3972
Skincare,feels,?,3939
Skincare,smooth,?,3918
Skincare,good,?,3892
Skincare,night,?,3868
Skincare,definitely,?,3839
Skincare,soft,?,3650
Skincare,doesn,?,3482
Skincare,try,?,3474
Skincare,makeup,?,3471
Skincare,little,?,3464
Skincare,amazing,?,3301
Skincare,received,?,3277
Skincare,long,?,3271
Skincare,products,?,3249
Skincare,sensitive,?,3196
Skincare,nice,?,3118
Skincare,oily,-,3083
Skincare,eye,?,2924
Skincare,feeling,?,2806
Skincare,acne,-,2738
Skincare,super,?,2702
Skincare,texture,?,2661
Skincare,serum,?,2656
Skincare,didn,?,2641
Skincare,price,?,2616
Skincare,scent,-,2586
Skincare,tried,?,2476
Skincare,difference,?,2425
Skincare,morning,?,2392
Skincare,makes,?,2345
Skincare,hydrated,?,2336
Skincare,got,?,2297
Skincare,works,?,2264
Skincare,cleanser,?,2249
Skincare,free,?,2193
Skincare,smells,-,2178
Skincare,sensitive skin,?,2075
Skincare,leaves,?,1986
Skincare,bit,?,1986
Skincare,mask,?,1974
Skincare,goes,?,1973
Skincare,better,?,1959
Skincare,sample,?,1939
Skincare,best,?,1858
Skincare,dry skin,-,1840
Skincare,hydrating,?,1839
Skincare,felt,?,1790
Skincare,results,?,1777
Skincare,eyes,?,1675
Skincare,pores,?,1665
Skincare,lips,?,1291
