product_id,rating,review_text,review_date
P450271,1,"While this product works as advertised, it contains Phenoxyethanol and Polyethylene!  How can it be a “clean“ product?!  So disappointed wont use again.",2019-12-29
P426183,2,I don’t really like products that have a fragrance in it. It does make skin feel soft and not oily. I think for the price that the full size product is you can get way better bang for your buck.,2021-06-26
P394639,5,Loooooooooove this product! It hydrates the skin and it is so lighweight! Lovely!,2021-05-29
P420652,5,"This has saved my Lips. I use it every night and my lips are hydrated and plump. It works. It’s healing. It smells great. It’s a great price and it’s big so it will last a long time. My daughter gets the worst champed lips that they even crack and bled sometimes, I use this on her and literally her lips transform into soft pillows overnight. Can be used in the am too as a gloss. Try it it’s amazing.",2018-09-04
P420652,5,"Since starting to use this a couple weeks ago, I haven’t had my usual dry, flakey, peeling lips this winter. I use this at night and during the day for a burst of moisture. It’s a great occlusive. It has a comfortable emollient, slightly tacky texture that adheres to the lips well overnight. This has worked better than using Vaseline. Highly recommend if you have dry lips that need rescuing!",2022-12-16
P454794,5,"What a wonderful moisturizer.  I have sensitive skin and have only used Clinique moisturizers until now.  While this product is a little pricey, it is worth every penny.  Gives me a youthful and healthy glow.",2019-01-09
P7880,5,"I would use this allover my entire body if it weren’t so prohibitively expensive. It’s gentle, effective, and smells great. It removes waterproof eyeliner but never strips my skin.",2020-07-21
P421275,1,Didn’t do anything for me. Will revisit EradiKate Acne treatment,2019-09-11
P453816,5,"I’ve tried other gel-to-oil-to-cleansing milk products before to remove makeup and cleanse, but this is the first to not only remove EVERYTHING, but also not leave a greasy residue on the skin causing me re-cleanse with a follow up product. I love this balm and definitely plan to re-purchase once I get through this tub (and there a ton of product in here!)Remember: a little goes a long way with this stuff! Maybe a tsp to a tsp and a half and you should be good to go!",2016-05-11
P443352,5,"This was a complimentary from Dermalogica sampling   for my honest review  Super easy to use and left my skin feeling great, definitely something I will purchase in rh future. There was no smell and I was left with smooth skin , a wiin!",2022-08-29
P450271,5,"Listen!!! Love this. Stumbled on it playing around knowing I didn’t ‘need’ anything during my last visit. I use the sleep tight firming mask so checked out Farmacy’s other products. Happened to run this on my hand like ‘huh, what’s this?’ BAD BUT SO GOOD IDEA!!! Fell in love. Smell, concept, price, all check. Asked for a sample then realized they had the smaller size. Melts full face of make up, including mascara instantly. I have a similar product that’s an oil. Love it but hard to travel with. THIS?? Perfect. Will never not have it now. Use this, followed with the sleep tight and a good c serum, skin is tight and happy.",2019-06-12
P458219,5,I’ll never get tired of this love love this toner best toner gives me such an amazing glow love it on my third bottle,2020-12-17
P122900,4,"I had a very oily T-zone, and every time I put this on, my face would feel softer and moisturized. Also I have less breakouts (I didn’t have them often to begin with, but I still got pimples once in a while).But I recently found out this product had parabens. I have a 3.6 fl oz. one which I’m about 1/4 of the way through...as much as I love this lotion/gel, I don’t think I will get another once I’m done with the one I have. :(",2013-06-12
P269122,5,This product has single handedly changed my skin for the better. Period. BUY THIS.,2021-08-20
P270594,5,I’ve been using this cream for years and I always go back to it. It doesn’t leave a sticky feeling on your face. My makeup lasts all day. I love the citrus smell. It feels good when you apply it to your face.,2022-01-05
P232903,5,"This really is what we’ve all been waiting for. I have searched high and low for years for a product like this. It wipes out those terrible cystic bumps in one or two days, and I believe has prevented acne from coming back up, both big and small. Highly recommended!",2017-02-15
P423688,5,I really liked this product from Dermalogica. It comepletelt changed the way I go about doing my skincare and hair care routine. It perfectly blended seamlessly into my current routine and I am so happy! Gifted by Dermalogica Sampling,2022-08-30
P422905,5,I have a small baby and sleeping thru the night is not happening very often. So I started to use this cream on my eye area and notice a big difference. It helps to keep my tired skin hydrated and it feels soft the next morning. It’s like giving a little boost on my skin. I’m even using it before I apply makeup now. It helps to keep the area of the eye hydrated and don’t show too much crease when I apply concealer. I just put a tiny bit and blend with my primer! It’s perfect!,2017-12-15
P232903,4,This does stop your breakout in its tracks. But that’s the problem. Unless you use this right when you feel a pimple coming on (under the skin) than you will be left with a raised bump on your face. Don’t use if your pimple has already surfaced.,2019-06-03
P417238,5,"this cleanser is amazing!  I got it as a sample and was so impressed with it that I broke down and made the purchase.  I normally would not spend this much on a cleanser but it is sooo worth it...  I have oily skin so I don’t use it every day, but i use it in between days of my other cleanser to as to not strip my skin from the other product.  It is a must have!",2022-02-22
P450271,5,Wipes off ALL makeup!!! Even stubborn waterproof mascara! No raccoon eyes the next morning!,2022-09-10
P480630,5,Seriously loving this mask!! I have combination skin so I tend to avoid things that might add to the oil on my face but this mask hydrates without making me oily! It is soo good at hydrating the skin. I had some dryness around my nose because of the cold weather and in one night of use it got rid of it! So amazing! I am using it as a primer under my makeup and I love it! I feel like it has helped with the texture of my skin and the lasting of my makeup! Major win!,2019-11-10
P439061,2,No difference in my spots and redness.Would not recommend,2020-07-13
P471546,1,Doesn’t work for me..I see a white patch layer on my skin after i apply the product not worth the hype!!!!,2022-05-10
P423688,5,"My favorite exfoliator, I’ve tried so many but always go back to my old time favorite Dermalogica Daily Microfoliant Exfoliator because it’s gentle and effective. I use it every other day as I have sensitive skin. It really helps keep my face smooth and bump free! I can notice the difference in my face texture when I stop using it for several days. You get to control the pressure you put when you use it, dont press too hard and use circular motions and leave for at least 1 mins so it can slaugh off dead skin cells. Definitely recommend!",2020-09-21
P394639,5,"This is a great, simple moisturizer. I’ve used it nightly for months. A little goes a very long way. Although it’s on the thicker side, it absorbs quickly. I never used this in the morning prior to makeup application because I felt it was just too thick. I would purchase this again!",2016-08-07
P429952,5,Love love love... tried it for the first time An seriously going to buy a second one for back up.. okay so basically I used it over night a small amount for my face and felt a cold sensation on my face and in the morning my face was so pump even around my eyes this product is amazing definitely would recommend!!! I will be using this product as a mask/ primer/ moisturizer!!,2018-03-31
P417238,5,"This was my first cleansing balm and I’m really enjoying it! The makeup comes off with minimal effort, and is so much easier than using traditional removers. I’m enjoying this as part of my skincare routine. It smells great, too!",2021-02-07
P430337,1,Broke me out with tiny red bumps. Smells like an orange creamsicle.,2020-04-23
